categories                                     ;code                                      ;description
Equipment & Magic, Weapons, Daggers            ;Scorpion's Stinger                        ;Dagger fashioned from a great scorpion's tail, glistening with scarlet rot. A ceremonial tool used by heretics, crafted from the relic of a sealed outer god.
Equipment & Magic, Weapons, Daggers            ;Cinquedea                                 ;Short sword given to high ranking clergymen of Farum Azula. Raises potency of bestial incantations. The design celebrates a beast's five fingers, symbolic of the intelligence once granted upon their kind.
Equipment & Magic, Weapons, Daggers            ;Glintstone Kris                           ;Ritual blade once presented to Leyndell by the Academy of Raya Lucaria to celebrate their newfound peace.  Though the weapon is embedded with precious glintstones and features Erdtree ornamentation, the undulating blade is symbolic of an ancient ritual.
Equipment & Magic, Weapons, Daggers            ;Reduvia                                   ;Jagged dagger with a distinctive curled blade. This dagger rips the flesh as it enters, inflicting blood loss with sickening efficacy. A proud testament to the success of its vicious design, this weapon is perpetually coated in blood.
Equipment & Magic, Weapons, Daggers            ;Blade of Calling                          ;Dagger given to one who set out on a journey to fulfill her duty long ago. The power of its former owner, the kindling maiden, is still apparent. The one who walks alongside flame, Shall one day meet the road of Destined Death.
Equipment & Magic, Weapons, Daggers            ;Black Knife                               ;Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives.  A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death.
Equipment & Magic, Weapons, Straight Swords    ;Short Sword                               ;A short straight sword with a short blade.  Lightweight amongst straight swords, this weapon is easy to wield, requiring only humble attributes.
Equipment & Magic, Weapons, Straight Swords    ;Longsword                                 ;A straight sword with a double-edged blade.
Equipment & Magic, Weapons, Straight Swords    ;Broadsword                                ;A straight sword with a wide blade, suited to slashing attacks. Horizontal swings boast wide attack range, making it easier to connect with foes.
Equipment & Magic, Weapons, Straight Swords    ;Weathered Straight Sword                  ;Straight sword with a rather short but wide blade. Simple to wield, it was known as the sword of the people. Though the Erdtree styling is still visible, time has not been kind to this sword, now merely a shadow of its former self.
Equipment & Magic, Weapons, Straight Swords    ;Lordsworn's Straight Sword                ;Well-crafted straight sword with an illustrious design, wielded by regulars of a lord's army. Though blackened and damaged by years of use, it appears to have otherwise been kept in a servicable condition, despite the soldiers having long since lost their minds.
Equipment & Magic, Weapons, Straight Swords    ;Noble's Slender Sword                     ;Narrow blade carried by wandering nobles. Daubed with gold from tip to tail, it should fetch a good sum.
Equipment & Magic, Weapons, Straight Swords    ;Cane Sword                                ;Beloved sword of an aged knight whose last quest was long behind Though bent of back and without the brawn required even to
Equipment & Magic, Weapons, Straight Swords    ;Warhawk's Talon                           ;Talon-swords are affixed to the legs of the Stormveil's warhawks, but this one has been repurposed for human use. The blade is thin and lightweight so as not to obstruct the hawk's mobility.
Equipment & Magic, Weapons, Straight Swords    ;Lazuli Glintstone Sword                   ;A sword with a glintstone in its handguards. Wielded by scholars of the Lazuli Conspectus who seek to master Carian sorcery. Deals magic damage. Apparently once used as a staff of sorcery, this sword is made of wood.
Equipment & Magic, Weapons, Straight Swords    ;Carian Knight's Sword                     ;Straight sword embedded with a blue glintstone.  These knights' swords could serve as catalysts, letting them wield sorcerous battle skills. Despite numbering fewer than twenty, this power made them a match for even the champions of gold in battle.
Equipment & Magic, Weapons, Straight Swords    ;Crystal Sword                             ;"Sword fashioned from pure crystal, a deed impossible for a human. Enwreathed with powerful magic, its attack scales with intelligence. The inscrutable Crystalians have but one clear purpose; to safeguard their crystals unto the end. One theory posits that they yearn for the return of their creator who will carve for them new brethren.  "
Equipment & Magic, Weapons, Straight Swords    ;Rotten Crystal Sword                      ;"Sword fashioned from pure crystal, a deed impossible for a human. Enwreathed with powerful magic, its attack scales with intelligence. "
Equipment & Magic, Weapons, Straight Swords    ;Miquellan Knight's Sword                  ;Sword forged by servants of Miquella of the Haligtree, with a design modeled after those carried by Carian knights. Instead of glintstone however, amber from the Haligtree is embedded in the blade.
Equipment & Magic, Weapons, Straight Swords    ;Ornamental Straight Sword                 ;Slender straight sword patterned after an antique ornament. After falling from grace, the dregs of the golden lineage sought power and purpose in the past.
Equipment & Magic, Weapons, Straight Swords    ;Golden Epitaph                            ;"A sword made to commemorate the death of Godwyn the Golden, first of the demigods to die. Infused with the humble prayer of a young boy; ""O brother, lord brother, please die a true death."" "
Equipment & Magic, Weapons, Straight Swords    ;Sword of St Trina                         ;Silver sword carried by clerics of St. Trina. Inflicts sleep ailment upon foes.
Equipment & Magic, Weapons, Straight Swords    ;Regalia of Eochaid                        ;Treasured sword of Eochaid, a lesser, long-vanished domain. The copper coloration is not to be confused for rust, but is a conduit for its wielder to move it by their will alone.  Swords of Eochaid dance through the skies
Equipment & Magic, Weapons, Straight Swords    ;Coded Sword                               ;Hidden sword once granted to the Tarnished of the Roundtable by the Two Fingers. A formless cipher comprises its blade, which deals holy damage no shield can repel. Champions would gather at the Roundtable Hold in days long past, when the Two Fingers were masters of oration, their flesh yet full of vigor.
Equipment & Magic, Weapons, Straight Swords    ;Sword of Night and Flame                  ;Storied sword and treasure of Caria Manor. Astrologers, who preceded the sorcerers, established themselves in mountaintops that nearly touched the sky, and considered the Fire Giants their neighbors.
Equipment & Magic, Weapons, Greatswords        ;Bastard Sword                             ;A large sword with a straight blade.
Equipment & Magic, Weapons, Greatswords        ;Claymore                                  ;A large sword with a long, straight blade. This heavy sword is usually wielded with two hands, but for those with enough strength, one is sufficient. In addition to the heavy sweeping attacks, it can also make a heavy piercing thrust making this a versatile weapon.
Equipment & Magic, Weapons, Greatswords        ;Iron Greatsword                           ;Greatsword with a blade of unusually thick steel. A coarse weapon to which polishing is a foreign concept. Weighty even among others of its class, the impact of each strike is sure to be felt.
Equipment & Magic, Weapons, Greatswords        ;Lordsworn's Greatsword                    ;Well-crafted straight sword with an illustrious design, wielded by regulars of a lord's army. Through blackened and damaged by years of use, it appears to have otherwise been kept in a serviceable condition, despite the soldiers having long since lost their minds.
Equipment & Magic, Weapons, Greatswords        ;Knight's Greatsword                       ;Greatsword bestowed upon skilled swordsmen in the demigods' service, and yet had no rank or title. Featuring a long grip enabling a dual-handed use, this weapon was designed to dispatch larger foes. Being charged with such a duty was undoubtedly a great honor.
Equipment & Magic, Weapons, Greatswords        ;Banished Knight's Greatsword              ;A finely-crafted greatsword intricately engraved with an ancient motif. G iven to knights who, whether by misfortune or misdeed, were forced to abandon their homes. Most of these knights were sent to the fringes, where they were forced to start anew with only despair for company.
Equipment & Magic, Weapons, Greatswords        ;Forked Greatsword                         ;"Oddly shaped greatsword wielded by imps. The gently undulating forked blade is known as an ""imp's tongue""     and causes blood loss. "
Equipment & Magic, Weapons, Greatswords        ;Flamberge                                 ;Greatsword featuring a flame-like undulation. Scarlet rot is kept at bay with flame at Redmane Castle, and as such, this beloved sword of Jerren's eventually became the symbol of the castle itself.
Equipment & Magic, Weapons, Greatswords        ;Gargoyle's Greatsword                     ;"Bronze greatsword wielded by Valiant Gargoyles. Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions. "
Equipment & Magic, Weapons, Greatswords        ;Gargoyle's Blackblade                     ;Bronze greatsword wielded by Valiant Gargoyles mended with blackened corpse wax. Deals holy damage. Such is the mark of those who serve Maliketh, the Black Blade.
Equipment & Magic, Weapons, Greatswords        ;Inseparable Sword                         ;Sword forged by compounding silver and gold. A sacred weapon to hunt Those Who Live in Death. Deals holy damage. The inseparable twins found solace in the Golden Order,
Equipment & Magic, Weapons, Greatswords        ;Sword of Milos                            ;Sinister greatsword fashioned from a giant's backbone. Metes out wounds like a lopsided saw-blade, and restores some FP upon defeating an enemy. Milos was undersized for a giant, and was viewed as sullied and terribly grotesque.
Equipment & Magic, Weapons, Greatswords        ;Marais Executioner's Sword                ;Storied sword of House Marais, the family of executioners who presided over the Shaded Castle. One of the legendary armaments.
Equipment & Magic, Weapons, Greatswords        ;Ordovis's Greatsword                      ;Greatsword of Ordovis, one of the two honored as foremost This sword is imbued with an ancient holy essence.
Equipment & Magic, Weapons, Greatswords        ;Alabaster Lord's Sword                    ;Greatsword forged from a blue-white meteoric ore. A weapon unique to the Alabaster Lords, a race of ancients with
Equipment & Magic, Weapons, Greatswords        ;Death's Poker                             ;"Barbed rod carried by Deathbirds. The birds are graveyard fire keepers; it is said they rake out the ashen remains of the dead from their kilns. "
Equipment & Magic, Weapons, Greatswords        ;Helphen's Steeple                         ;Greatsword patterned after the black steeple of the Helphen, the lampwood which guides the dead of the spirit world. The lamplight is similar to grace in appearance, only it is said that it can only be seen by those who met their death in battle.
Equipment & Magic, Weapons, Greatswords        ;Blasphemous Blade                         ;Sacred sword of Rykard, Lord of Blasphemy. Now they share the same blood, bound together as family.
Equipment & Magic, Weapons, Greatswords        ;Golden Order Greatsword                   ;Greatsword made of light, modeled after the Elden Ring itself.
Equipment & Magic, Weapons, Greatswords        ;Dark Moon Greatsword                      ;A Moon Greatsword, bestowed by a Carian queen upon her Ranni's sigil is a full moon, cold and leaden, and this sword is but a beam of its light.
Equipment & Magic, Weapons, Greatswords        ;Sacred Relic Sword                        ;"Sword wrought from the remains of a god who should have lived a life eternal. Thoughts on what the weapon portends are many and varied. Some consider it the mark of a great sin, or a sign of great devastation. Some think of it as the end of an age, while others; the beginning. "
Equipment & Magic, Weapons, Colossal Swords    ;Zweihander                                ;Just about the largest sword a mere man is capable of swinging. True to its name, it is designed to be wielded in both hands, but those of merely ordinary strength will still struggle to do so.
Equipment & Magic, Weapons, Colossal Swords    ;Greatsword                                ;A coarse iron lump of an ultra greatsword. Mows down foes by utilizing its incredible weight. Though handling it likely requires the wielder to have surpassed the realm of the merely human,  it is precisely for this reason the weapon is used to slaughter even inhuman foes.
Equipment & Magic, Weapons, Colossal Swords    ;Watchdog's Greatsword                     ;Stone greatsword wielded by Erdtree Burial Watchdogs. Though decorated with the watchman's eye, the pupil was taken by graverobbers and is now hollow, leaving this sword a mere lump of stone.
Equipment & Magic, Weapons, Colossal Swords    ;Troll's Golden Sword                      ;Sword given to the lesser giants who fought for the Erdtree  during the War against the Giants long ago. Though the giants have lost their minds, they stay inseparable from their  swords that are in sad shape—such that the gold plating had flaked away.
Equipment & Magic, Weapons, Colossal Swords    ;Troll Knight's Sword                      ;Greatsword embedded with a blue glintstone. Called into service when the Queen invoked an oath they swore,
Equipment & Magic, Weapons, Colossal Swords    ;Royal Greatsword                          ;Greatsword decorated in royal Carian Style. Favored weapon of Blaidd the Half-Wolf. In defiance of the fate he was born to, Blaidd swore to serve no master but Ranni. As proof. the sword was imbued with a cold magic at the moment oath was sworn.
Equipment & Magic, Weapons, Colossal Swords    ;Grafted Blade Greatsword                  ;The storied sword of Castle Morne. A revenger's weapon, it is burdened with oceans of anger and regret.  A lone surviving champion from a country now vanished was so determined to continue fighting that he claimed the swords of an entire clan of warriors.
Equipment & Magic, Weapons, Colossal Swords    ;Ruins Greatsword                          ;Originally rubble from a ruin which fell from the sky, this surviving fragment was honed into a weapon. The ruin it came from crumbled when struck by a meteorite, as such this weapon harbors its destructive power.
Equipment & Magic, Weapons, Colossal Swords    ;Starscourge Greatsword                    ;Curved greatswords of black steel wielded by General Radahn. A pair of weapons decorated with a lion mane motif. Radahn earned considerable renown as the Starscourge in this youth, and it is said that it was during this time he engraved the gravity crest up these blades.
Equipment & Magic, Weapons, Colossal Swords    ;Godslayer's Greatsword                    ;Sacred sword of the Gloam-Eyed Queen who controlled the Godskin Apostles before her defeat at the hands of Maliketh. The black flames wielded by the apostles are channeled from this sword.
Equipment & Magic, Weapons, Colossal Swords    ;Maliketh's Black Blade                    ;Maliketh's black blade which once harbored the power of the After a fragment of Death was stolen on that fateful night,
Equipment & Magic, Weapons, Thrusting Swords   ;Rapier                                    ;A piercing sword with a sharp, slender blade. As one of the smaller piercing swords, quick successive thrust area easy to perform, but without a cutting edge, it cannot be used for slashing attacks.
Equipment & Magic, Weapons, Thrusting Swords   ;Estoc                                     ;Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks.  For its large size, it can be wirleded rather nimbly, leaving little opportunity for the enemy to counter.
Equipment & Magic, Weapons, Thrusting Swords   ;Noble's Estoc                             ;Estoc carried by wandering nobles. Made to be easy to wield.  Daubed with gold from tip to tail, it should fetch a good sum.
Equipment & Magic, Weapons, Thrusting Swords   ;Cleanrot Knight's Sword                   ;Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long- handled armament.
Equipment & Magic, Weapons, Thrusting Swords   ;Rogier's Rapier                           ;Piercing sword of superior quality, featuring intricate  ornamentation. Signature weapon of the sorcerer Rogier. High dexterity is required to wield the blade to its full potential,  but mastery is a sight to behold, characterized by a flowing style  which excels in successive attacks.
Equipment & Magic, Weapons, Thrusting Swords   ;Antspur Rapier                            ;Spur of a giant ant which has been fashioned into a rapier. The blade drips with scarlet rot.  Scarlet rot is an old legend, of which Maleigh Marais of the Shaded Castle was a private believer. And indeed, he eventually found his own personal goddess.
Equipment & Magic, Weapons, Thrusting Swords   ;Frozen Needle                             ;A razor-thin piercing blade of ice. Can inflict frost upon enemies, and launch its blade with a strong attack.  The blade immediately regenerates.
Equipment & Magic, Weapons, Curved Swords      ;Scimitar                                  ;A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against armor and hides covered in tough scales. Smaller in size than most curved swords, it carves into enemies with quick, sharp cuts.
Equipment & Magic, Weapons, Curved Swords      ;Falchion                                  ;A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales. Wielders of the weapon employ a unique style that enhances attacks with spinning motions.
Equipment & Magic, Weapons, Curved Swords      ;Shamshir                                  ;Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.
Equipment & Magic, Weapons, Curved Swords      ;Grossmesser                               ;Curved sword boasting a large blade.  A thoroughly reliable choice of weapon for those who can master its particulars.
Equipment & Magic, Weapons, Curved Swords      ;Bandit's Curved Sword                     ;Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.
Equipment & Magic, Weapons, Curved Swords      ;Shotel                                    ;Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard.  Made to hunt down humans, this weapon requires high dexterity to wield efficiently.
Equipment & Magic, Weapons, Curved Swords      ;Scavenger's Curved Sword                  ;Unique curved sword, notched like shark's teeth.
Equipment & Magic, Weapons, Curved Swords      ;Mantis Blade                              ;A curved sword with a blade at both ends wielded by the Cemetery Shades, the insect-ridden grave keepers.  The blade is thin and sharp, and strong attack unleashes a far-reaching slash.
Equipment & Magic, Weapons, Curved Swords      ;Beastman's Curved Sword                   ;Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.
Equipment & Magic, Weapons, Curved Swords      ;Flowing Curved Sword                      ;Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water.
Equipment & Magic, Weapons, Curved Swords      ;Serpent-God's Curved Sword                ;Curved sword fashioned in the image of an ancient serpent deity and tool of a forgotten religion practiced on Mt. Gelmir. Formerly used to offer up sacrifices, this sword restores HP upon slaying an enemy.
Equipment & Magic, Weapons, Curved Swords      ;Magma Blade                               ;Curved sword with a blade fashioned from the lava of Mt. Gelmir. An armament of the man-serpents, impossible for a human to have made. Deals fire damage.
Equipment & Magic, Weapons, Curved Swords      ;Nox Flowing Sword                         ;A grim weapon wielded by swordsmen of the Eternal City, this Forged from the liquid metal of a Silver Tear, it is thoroughly
Equipment & Magic, Weapons, Curved Swords      ;Wing of Astel                             ;Sword fashioned from a delicate wing, suffused with the magic of Crafted from a relic of the Naturalborn of the Void who is said to
Equipment & Magic, Weapons, Curved Swords      ;Eclipse Shotel                            ;Storied sword and treasure of Castle Sol that depicts an eclipsed sun drained of color. One of the legendary armaments. In Sol, the sight of an eclipse inspires a dreadful awe, preventing an onlooker from averting his gaze.
Equipment & Magic, Weapons, Curved Greatswords ;Dismounter                                ;This curved greatsword wielded by the brawny sellswords of Kaiden combines the blades of a scimitar with the heft of a hatchet.  A difficult to handle weapon that demands much of the wielder's strength and dexterity, but with practice and ability, it can serve as a versatile weapon even on horseback.
Equipment & Magic, Weapons, Curved Greatswords ;Omen Cleaver                              ;Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.  The pattern etched upon the blade is the remnant of a deteriorating malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.
Equipment & Magic, Weapons, Curved Greatswords ;Monk's Flameblade                         ;Curved sword with a flickering flame motif. Wielded by the Fire Monks who came from the Mountaintops of the Giants. The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.
Equipment & Magic, Weapons, Curved Greatswords ;Beastman's Cleaver                        ;Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.
Equipment & Magic, Weapons, Curved Greatswords ;Bloodhound's Fang                         ;Curved greatsword with a gently undulating blade wielded by Bloodhound Knights. A fearsome blade capable of brutal airborne attacks.
Equipment & Magic, Weapons, Curved Greatswords ;Onyx Lord's Greatsword                    ;Greatsword forged from golden-hued meteoric ore.  A weapon unique to the Onyx Lords, a race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago.
Equipment & Magic, Weapons, Curved Greatswords ;Zamor Curved Sword                        ;Weapon wielded by the knights of Zamor who earned great renown during the War against the Giants. In apparent devotion to winter, the curved blade is styled after an icy wind and imbued with a powerful frost effect.
Equipment & Magic, Weapons, Curved Greatswords ;Magma Wyrm's Scalesword                   ;Curved greatsword wielded by Magma Wyrms. The shape resembles a dragon's jaw and is covered in hard scales. It's said these land-bound dragons were once humans heroes who partook in dragon communion, a grave transgression for which they were cursed to crawl the earth upon their bellies, shadows of their former selves.
Equipment & Magic, Weapons, Curved Greatswords ;Morgott's Cursed Sword                    ;Warped blade of shifting hue used by Morgott, the Omen King.  The accused blood that Morgott recanted and sealed away reformed into this blade.
Equipment & Magic, Weapons, Katanas            ;Uchigatana                                ;A katana with a long single-edged curved blade.  The blade, with its undulating design, boasts extraordinary sharpness, and ts slash attacks cause blood loss.
Equipment & Magic, Weapons, Katanas            ;Nagakiba                                  ;Katana with a ferociously long blade. Reminiscent of a reinforced spear, its imposing length can be put to good use with powerful thrusting attacks.
Equipment & Magic, Weapons, Katanas            ;Serpentbone Blade                         ;Sinister katana modeled after a serpent bone. The densely packed row of spines that jut away from the cutting edge are coated in a lethal poison.
Equipment & Magic, Weapons, Katanas            ;Meteoric Ore Blade                        ;Katana forged from meteoric ore to dispatch lifeforms born of falling stars.
Equipment & Magic, Weapons, Katanas            ;Moonveil                                  ;Katana forged of glintstone. Light enwreathes the blade when sheathed, explaining its Moonveil moniker.
Equipment & Magic, Weapons, Katanas            ;Rivers of Blood                           ;Weapon of Okina, swordsman from the Land of Reeds. When Mohg, the Lord of Blood, first felt Okina's sword, and madness,
Equipment & Magic, Weapons, Katanas            ;Dragonscale Blade                         ;A weapon made by sharpening a Gravel Stone scale, thought to be Alas, the Dragonkin Soldiers never attained immortality, and
Equipment & Magic, Weapons, Katanas            ;Hand of Malenia                           ;"Blade built into Malenia's prosthetic arm. Through consecration it is resistant to rot. Malenia's war prosthesis symbolized her victories. Some claim to have seen wings when the weapon was raised aloft; wings of fierce determination that have never known defeat. "
Equipment & Magic, Weapons, Twinblades         ;Twinblade                                 ;A sword with blades on both sides of the hilt. Can be wielded with a single hand, but its true strength is enabled
Equipment & Magic, Weapons, Twinblades         ;Twinned Knight Swords                     ;An attractive twinblade of fine make that prizes the chivalric way.
Equipment & Magic, Weapons, Twinblades         ;Godskin Peeler                            ;Unique twinblade wielded by Godskin Apostles characterized by its disturbing design. One end features a sickle for slicing attacks while the other boasts a winding spike for boring into flesh.
Equipment & Magic, Weapons, Twinblades         ;Gargoyle's Twinblade                      ;"Bronze twinblade wielded by Valiant Gargoyles. Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions. "
Equipment & Magic, Weapons, Twinblades         ;Gargoyle's Black Blades                   ;Bronze twinblade wielded by Valiant Gargoyles, mended with blackened corpse wax. Deals holy damage. Such is the mark of those who serve Maliketh, the Black Blade.
Equipment & Magic, Weapons, Twinblades         ;Eleonora's Poleblade                      ;Twinned naginata forged in the Land of Reeds. Chosen weapon of Eleonora, Violet Bloody Finger.  Her mastery of the sword was such that her onslaught was likened to a whirlwind, but now her legacy is stained by accursed blood. Unique Skill: Bloodblade Dance
Equipment & Magic, Weapons, Axes               ;Hand Axe                                  ;Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks.
Equipment & Magic, Weapons, Axes               ;Forked Hatchet                            ;"Peculiar hatchet wielded by imps.  The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss. "
Equipment & Magic, Weapons, Axes               ;Battle Axe                                ;"<span data-sheets-userformat='{""2"":705,""3"":{""1"":0},""9"":1,""10"":1,""12"":0}' data-sheets-value='{""1"":2,""2"":""A thick, heavy blade attached to a handle. A versatile, standard weapon\n\nCapable of powerful attacks thanks to the weighty blade, these weapons are also regarded for their powerful charge attacks.""}'>A thick, heavy blade attached to a handle. A versatile, standard weapon<br/><br/>Capable of powerful attacks thanks to the weighty blade, these weapons are also regarded for their powerful charge attacks.</span> "
Equipment & Magic, Weapons, Axes               ;Warped Axe                                ;Oversized double-headed axe with a bizarre, almost melted appearance. Brute strength is the only thing required to wield this weapon, which appears to have taken quite the beating itself.
Equipment & Magic, Weapons, Axes               ;Jawbone Axe                               ;"Axe made from a herbivore's skull. Weapon of the ancestral  followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead  using the beast's molar teeth to buffet foes, dealing strike damage. "
Equipment & Magic, Weapons, Axes               ;Iron Cleaver                              ;Fairly large iron cleaver, commonly used by the maltreated Misbegotten.  Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.
Equipment & Magic, Weapons, Axes               ;Highland Axe                              ;Single-sided axe used by the warriors of the highlands.  Brave combatants begin battle by crying out their names. Roars are enhanced by this weapon.
Equipment & Magic, Weapons, Axes               ;Celebrant's Cleaver                       ;Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks.
Equipment & Magic, Weapons, Axes               ;Sacrificial Axe                           ;Hatchet used in ancient sacrificial rite. A Deathbird is depicted as a malevolent deity. The power of the rite yet lingers. A small amount of FP is restored upon slaying a foe.
Equipment & Magic, Weapons, Axes               ;Icerind Hatchet                           ;"A hatchet with a frost-coated blade. One of several gifts given by Castle Sol in the distant north. Known as ""freezing fog,"" the blade is thought to be a dragon's scale. Inflicts a powerful frost effect. "
Equipment & Magic, Weapons, Axes               ;Ripple Blade                              ;Unique weapon wielded by young Albinaurics, this sword is modelled after the ripples that are thought to be the origin of their species. Its attack power is greatly enhanced with one's arcane attribute.
Equipment & Magic, Weapons, Axes               ;Stormhawk Axe                             ;Battle axe designed to resemble a hawk, with its wings comprising the blade. Signature weapon of warriors who strive to remain one with the storm, despite being so far from their place of birth. Their hearts are proud, and thereby easily undone.
Equipment & Magic, Weapons, Axes               ;Rosus' Axe                                ;Usher of Death, Rosus, who shows the path to the catacombs throughout the Lands Between, is depicted on this ritual axe. The dead easily lose their way, and have always been in sore need of a guiding hand.
Equipment & Magic, Weapons, Greataxes          ;Greataxe                                  ;Greataxe akin to a huge lump of iron. Recognized as the weapon of choice of badland chieftains.
Equipment & Magic, Weapons, Greataxes          ;Crescent Moon Axe                         ;"Greataxe with a large, arcing blade and long handle. The ""Crescent Moon"" of its name is said to have been spurred by nostalgia. Specializes in sweeping through foes by making use of its long handle. "
Equipment & Magic, Weapons, Greataxes          ;Longhaft Axe                              ;Large iron axe with a long handle. Weapon of the maltreated Misbegotten. Making use of the force generated by its length, this weapon's resentment-charged blows are difficult to stop.
Equipment & Magic, Weapons, Greataxes          ;Executioner's Greataxe                    ;Bulky cleaver welded to a long haft. Said to have been used to dispatch the remnants of defeated armies, felling them like timber. Perhaps that is the reason it excels at critical hits.
Equipment & Magic, Weapons, Greataxes          ;Great Omenkiller Cleaver                  ;The blade of this huge, loathsome cleaver comprises a row of  amputated Omen horns. Weapon of slaughter wielded by  Omen killers. The hideous horns cause blood loss, adding vibrant colors to the  ongoing mayhem.
Equipment & Magic, Weapons, Greataxes          ;Rusted Anchor                             ;A rusty anchor wielded as a weapon. Each of its four flukes is thick and sharp, enabling piercing attacks. While the Tarnished left the Lands Between with their Lord, one boat alone was said to have been left behind.
Equipment & Magic, Weapons, Greataxes          ;Butchering Knife                          ;Huge carving knife made to cleanly butcher the human body. Restores a very small amount of HP when it squarely strikes an enemy.
Equipment & Magic, Weapons, Greataxes          ;Gargoyle's Great Axe                      ;"Bronze greataxe wielded by Valiant Gargoyles. Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions. "
Equipment & Magic, Weapons, Greataxes          ;Gargoyle's Black Axe                      ;Bronze greataxe wielded by Valiant Gargoyles, mended with blackened corpse wax. Deals holy damage. Such is the mark of those who serve Maliketh, the Black Blade.
Equipment & Magic, Weapons, Greataxes          ;Winged Greathorn                          ;Distinctive horn suffused with the power of ancestral spirits. This large, wing-shaped specimen is wielded as a weapon of spirit worship.
Equipment & Magic, Weapons, Greataxes          ;Axe of Godrick                            ;"Greataxe wielded by Godrick the Grafted. This golden battleaxe is emblazoned with the figure of a beast, representing the strength of Godfrey, First Elden Lord and patriarch of the golden lineage. ""I command thee kneel! For I am the lord of all that is golden!"" "
Equipment & Magic, Weapons, Hammers            ;Club                                      ;A thick, solid lump of wood. A simple, primitive weapon that requires only brute strength and persistence to hammer your foe into the ground.
