code                             ;description                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;natural language time tuple
Commander's Standard             ;A beaten red battle standard is furled around this time-worn halberd. Even after his lord was fled, Commander O'Neil continued to brandish this flag in the devastation of the rot-eaten field of battle, the sole veteran who remembers this battle with pride.                                                                                                                                                                                                             ;Commander O'Neil continues to brandish the Commander's Standard AFTER Commander O'Neil's lord was fled
Demi-Human Queen's Staff         ;Glintstone staff styled as a scepter. A gift once given to the demi-humans to foster peace, it can be wielded even by those of low intelligence.                                                                                                                                                                                                                                                                                                                             ;Demi-Human Queen's Staff is given to the Demi-Humans to foster peace
Erdtree Seal                     ;A formless sacred seal decorated with an Erdtree crest, once the focus of religion in the Lands Between.                                                                                                                                                                                                                                                                                                                                                                     ;Erdtree is the focus of religion in the Lands Between
Alberich's Pointed Hat           ;Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner.  Set with red glintstones said to be formed by the blood of sacrifices. Strengthens thorn sorcery.  Alberiches was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.                                                                                                                                      ;Alberich is driven mad bei jeering tongues DURING Alberich's service to the Roundtable Hold
Aristocrat Hat                   ;Leather hat decorated with a withered feather. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.                                                                                                                                                                                                                                                                                                            ;Aristocrats abandon their birthplace AFTER Shattering
Aristocrat Headband              ;Valuable headband featuring fine goldwork. Travel attire worn by nobles in the capital. Abandoning their birthplace after the Shattering, these undead wanderers are pitiful product of unending life.                                                                                                                                                                                                                                                                       ;Aristocrats abandon their birthplace AFTER Shattering
Carian Knight Helm               ;Helm of the enchanted knights that once served the Carian royal family.                                                                                                                                                                                                                                                                                                                                                                                                      ;Carian Knights serve the Carian royal family
Crimson Hood                     ;A hooded cloak of vivid crimson.  Such cloaks were gifted to those who departed on journeys without specific orders, to faraway lands from which they would never return. In other words, the gift of a cloak made it easier for undesirable to be on their way.  Roderika never once saw the guidance of grace.                                                                                                                                                             ;Crimson Hood is given to tarnished BEFORE Long March
Gelmir Knight Helm               ;Helm worn by knights once loyal to Praetor Rykard. Its crest of red feathers symbolizes Rykard's pedigree as Lord Radagon's son.                                                                                                                                                                                                                                                                                                                                             ;Gelmir Knights serve Rykard
Godskin Apostle Hood             ;Hood made by seweing together patches of smooth skin. The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame.  But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.                                                                                                                                                                                                                         ;Godskin Apostles' power is sealed away AFTER Godskin Apostles are defeated by Maliketh
Perfumer Hood                    ;"Hood of an Erdtree Capital perfumer. In time past, the role of perfumer was much respected; a blessed apothecary in the eyes of the many. But after entering the battlefields of the Shattering they performed no such role, trading their aromatics for poisons and explosives.  "                                                                                                                                                                                         ;Perfumers are drafted into service DURING Shattering
Twinned Helm                     ;"Helm depicting entwined twins of gold and silver. The two known as D are inseparable twins. They are of two bodies and two minds, but one single soul. Not once do they stand together; not one word do they speak to one another. Perhaps this armor longs to find its way to the other D.  "                                                                                                                                                                              ;
Iron Kasa                        ;Iron kasa of the man who calls himself Shabriri. The man, once known as Yura, kept a woman in the deepest reaches of his heart.                                                                                                                                                                                                                                                                                                                                              ;
Night's Cavalry Helm             ;Pitch-black helm with flowing black hair. The Night's Cavalry, who now wander the dim roads at night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.                                                                                                                                                                                                                                                                ;Night's Cavalry are led by Margit and deliver death to champions BEFORE Night's Cavalry wander the dim roads at night
Night's Cavalry Helm (Altered)   ;Pitch-black helm thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds. The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.                                                                                                                                                                                                   ;Night's Cavalry are led by Margit and deliver death to champions BEFORE Night's Cavalry wander the dim roads at night
Nomadic Merchant's Chapeau       ;Chapeau of the nomadic merchants. Decorated with tiny gems in a wide spectrum of colors. These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground. Then, they chanted a curse of despair, and summoned the flame of frenzy.                                                                                                                                        ;Nomadic Merchants are rounded up and buried alive far underground AFTER Nomadic Merchants are accused of heretical beliefs, Nomadic Merchants chant a curse of despair, and summon the flame of frenzy AFTER Nomadic Merchants are rounded up and buried alive far underground
Old Aristocrat Cowl              ;Cowl made of soft cloth. Travel attire worn by nobles in the capital. Garb favored by the aged. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.                                                                                                                                                                                                                                                           ;Aristocrats abandon their birthplace AFTER Shattering
Radahn Soldier Helm              ;Helm worn by soldiers who fought by General Radahn's side. Its visor is fashioned after a lion's fangs.                                                                                                                                                                                                                                                                                                                                                                      ;Redmane Soldiers fight by Radahn's side
Royal Knight Helm                ;Silver helm of Loretta, a Knight who served Miquella's Haligtree. Loretta, once a royal Carian Knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation.                                                                                                                                                                                                                               ;Loretta is a Carian Knight BEFORE Loretta serves the Haligtree
Alberich's Robe                  ;Mad Tongue Alberich's robe. Set with red glintstones said to be formed by the blood of sacrifices.  Alberiches was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.                                                                                                                                                                                                             ;Alberich is driven mad bei jeering tongues DURING Alberich's service to the Roundtable Hold
Carian Knight Armor              ;Armor of the enchanted knights that once served the Carian royal family.                                                                                                                                                                                                                                                                                                                                                                                                     ;Carian Knights serve the Carian royal family
Eccentric's Armor                ;Unusually colorful armor. Worn by the knight Jerren.  Jerren preferred a nomadic existence, but after spending time as a guest of the Carian royals, he became a guest commander for General Radahn. And for the first time, the restless tumbleweed would be bound by honorable oath.                                                                                                                                                                                       ;Jerren becomes a guest commander for Radahn AFTER Jerren spends time as a guest of the Carian royals
Fia's Robe (Altered)             ;Worn by Fia, the Deathbed Companion, on her journey after being exiled from her home.                                                                                                                                                                                                                                                                                                                                                                                        ;Fia wears Fia's Robe AFTER Fia is exiled from her home
Fell Omen Cloak                  ;"""A cloak of ragged fur worn about the exposed body of Margit, the Fell Omen. Having slaughtered countless champions during the Shattering, the Fell Omen has become a horror to those who harbor ambitions for the Erdtree, or for Lordship."" "                                                                                                                                                                                                                           ;Margit slaughters countless champions DURING Shattering
Gelmir Knight Armor              ;Armor worn by knights once royal to Praector Rykard. It bears an emblem that none wear any longer, standing as it does for a lord that fell from loft ambition into gluttonous depravity. As the lord lost his dignity, so too did these knights lose their master.                                                                                                                                                                                                          ;Gelmir Knights serve Rykard BEFORE Rykard falls from loft ambition into gluttonous depravity
Godskin Apostle Robe             ;Robe made by sewing together patches of smooth skin. Worn by the Godskin Apostles. The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame.  But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.                                                                                                                                                                                            ;Godskin Apostles' power is sealed away AFTER Godskin Apostles are defeated by Maliketh
Aristocrat Garb (Altered)        ;High quality garb adorned with fine golden embroidery. Abandoning their birthplace after the Shattering, these pitiful wanderers are the pitiful product of unending life.                                                                                                                                                                                                                                                                                                   ;Aristocrats abandon their birthplace AFTER Shattering
Carian Knight Armor (Altered)    ;Armor of the enchanted knights that once served the Carian royal family.                                                                                                                                                                                                                                                                                                                                                                                                     ;Carian Knights serve the Carian royal family
Corhyn's Robe                    ;Robe of Corhyn the cleric. Even after exile, Corhyn refused to recant his prophecies. And for this, he was blessed with the guidance of grace. Since then, the cart wheel draped on his neck has served as a reminder. That true guidance awaits those with iron wills. Those with unwavering faith.                                                                                                                                                                         ;Corhyn refuses to recant his prophecies AFTER Corhyn is exiled
Gelmir Knight Armor (Altered)    ;Armor worn by knights once loyal to Praetor Rykard.                                                                                                                                                                                                                                                                                                                                                                                                                          ;Gelmir Knights serve Rykard
Haligtree Knight Armor           ;Armor worn by knights sworn the Haligtree. Its left breast is emblazoned with the crest of the Haligtree. Though watered with Miquella's own blood since it was a sapling, the Haligtree ultimately failed to grow into an Erdtree.                                                                                                                                                                                                                                          ;Haligtree is watered with Miquella's blood BEFORE Haligtree fails to grow into Erdtree
Leyndell Knight Armor            ;Armor worn by knights sworn to defend the royal capital of Leyndell. Its left breast is emblazoned with a symbol of Erdtree Worship, said to have once been imbued with an incantation of protection.                                                                                                                                                                                                                                                                        ;Leyndell Knights are sworn to defend Erdtree
Night's Cavalry Armor            ;Pitch-black armor thinly painted with dried blood. The Night's Cavalry, who now wander the dim roads at night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.                                                                                                                                                                                                                                                       ;Night's Cavalry are led by Margit and deliver death to champions BEFORE Night's Cavalry wander the dim roads at night
Nomadic Merchant's Finery        ;Finery of the nomadic merchants.  Decorated with tiny gems in a wide spectrum of colors. These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground. Then, they chanted a curse of despair, and summoned the flame of frenzy.                                                                                                                                        ;Nomadic Merchants are rounded up and buried alive far underground AFTER Nomadic Merchants are accused of heretical beliefs, Nomadic Merchants chant a curse of despair, and summon the flame of frenzy AFTER Nomadic Merchants are rounded up and buried alive far underground
Omen Armor                       ;Malformed armor resembling an Omen with its horns cut off. Worn by the Dung Eater. The heavy, sun-shaped medallion represents both the guidance he once saw, and the ring to which it will one day lead.                                                                                                                                                                                                                                                                     ;
Ronin's Armor                    ;Armor of the man who calls himself Shabriri. The man, once known as Yura, kept a woman in the deepest reaches of his heart.                                                                                                                                                                                                                                                                                                                                                  ;
Ronin's Armor (Altered)          ;Armor of the man who calls himself Shabriri. Highly functional and heavily worn. The man, once known as Yura, kept a woman in the deepest reaches of his heart.                                                                                                                                                                                                                                                                                                              ;
Royal Knight Armor               ;Silver armor of Loretta, a knight who served Miquella's Haligtree. Loretta was once a royal Carian Knight, and her lapis-lazuli blue cape is the emblem of the knightly pride that continues to guide her.                                                                                                                                                                                                                                                                   ;Loretta is a Carian Knight BEFORE Loretta serves the Haligtree
Traveler's Clothes               ;Light yet sturdy clothes. Worn by young women who set off into the world to confront their fate.                                                                                                                                                                                                                                                                                                                                                                             ;
Alberich's Bracers               ;Mad Tongue Alberich's bracers. Set with red glintstones said to be formed by the blood of sacrifices.  Alberiches was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.                                                                                                                                                                                                          ;Alberich is driven mad bei jeering tongues DURING Alberich's service to the Roundtable Hold
Carian Knight Gauntlets          ;Gauntlets of the enchanted knights that once served the Carian royal family.                                                                                                                                                                                                                                                                                                                                                                                                 ;Carian Knights serve the Carian royal family
Gelmir Knight Gauntlets          ;Gauntlets worn by knights once loyal to Praetor Rykard. Time has yet to dull their luster.                                                                                                                                                                                                                                                                                                                                                                                   ;
Godskin Apostle Bracelets        ;Black bracelets of the Godskin Apostles. The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame. But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.                                                                                                                                                                                                                                       ;Godskin Apostles' power is sealed away AFTER Godskin Apostles are defeated by Maliketh
Hoslow's Gauntlets               ;"Garish silver gauntlets decorated with red embellishments. Passed down through the Hoslow family. When Juno Hoslow received an invitation to the Volcano Manor, he discreetly refused. ""I have already walked many a road drenched in blood, yet never would I consider myself a champion."" "                                                                                                                                                                             ;Juno Hoslow doesn't consider himself a champion BEFORE Juno Hoslow is invited to Volcano Manor
Leyndell Knight Gauntlets        ;Gauntlets worn by knights sworn to defend the royal capital of Leyndell. Time has yet to dull their luster                                                                                                                                                                                                                                                                                                                                                                   ;Leyndell Knights are sworn to defend Erdtree
Perfumer Gloves                  ;"Gloves of an Erdtree Capital perfumer. In time past, the role of perfumer was much respected; a blessed apothecary in the eyes of the many. But after entering the battlefields of the Shattering they performed no such role, trading their aromatics for poisons and explosives.  "                                                                                                                                                                                       ;Perfumers are drafted into service DURING Shattering
Twinned Gauntlets                ;"Gauntlets depicting entwined twins of gold and silver.  The two known as D are inseparable twins. They are of two bodies and two minds, but one single soul. Not once do they stand together; not one word do they speak to one another. Perhaps this armor longs to find its way to the other D.  "                                                                                                                                                                        ;Gelmir Knights serve Rykard
Eccentric's Manchettes           ;The knight Jerren's manchettes.  Jerren preferred a nomadic existence, but after spending time as a guest of the Carian royals, he became the guest commander for General Radahn. And for the first time, the restless tumbleweed would be bound by honorable oath.                                                                                                                                                                                                          ;Jerren becomes a guest commander for Radahn AFTER Jerren spends time as a guest of the Carian royals
Gold Bracelets                   ;Bracelets made in the image of Erdtree branches. Minimal adornments made by Lord Goldmask's disciples. Those disciples have long since left him.                                                                                                                                                                                                                                                                                                                             ;Goldmask's disciples make Gold Bracelets BEFORE Goldmask's disciples leave Goldmask
Night's Cavalry Gauntlets        ;Pitch-black gauntlets thinly painted with dried blood. The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.                                                                                                                                                                                                                                                   ;Night's Cavalry are led by Margit and deliver death to champions BEFORE Night's Cavalry wander the dim roads at night
Redmane Knight Gauntlets         ;Black iron guantlets worn by knights who fought by General Radahn's side.  Time has yet to dull their luster.                                                                                                                                                                                                                                                                                                                                                                ;Redmane Soldiers fight by Radahn's side
Ronin's Gauntlets                ;Gauntlets of the man who calls himself Shabriri. The man, once known as Yura, kept a woman in the deepest reaches of his heart.                                                                                                                                                                                                                                                                                                                                              ;
Traveler's Manchettes            ;Light yet sturdy leather manchettes. Worn by young women who set off into the world to confront their fate.                                                                                                                                                                                                                                                                                                                                                                  ;
Tree Sentinel Gauntlets          ;Golden gauntlets of the heavy cavalry Tree Sentinels who serve the Erdtree. Imposingly sturdy and nigh unbreakable, the grace of old yet lingers.                                                                                                                                                                                                                                                                                                                            ;
Alberich's Trousers              ;Mad Tongue Alberich's trousers. Alberiches was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.                                                                                                                                                                                                                                                                                 ;Alberich is driven mad bei jeering tongues DURING Alberich's service to the Roundtable Hold
Carian Knight Greaves            ;Greaves of the enchanted knights that once served the Carian royal family.                                                                                                                                                                                                                                                                                                                                                                                                   ;Carian Knights serve the Carian royal family
Eccentric's Breeches             ;The knight Jerren's breeches.  Jerren preferred a nomadic existence, but after spending time as a guest of the Carian royals, he became the guest commander for General Radahn. And for the first time, the restless tumbleweed would be bound by honorable oath.                                                                                                                                                                                                            ;Alberich is driven mad bei jeering tongues DURING Alberich's service to the Roundtable Hold
Gelmir Knight Greaves            ;Greaves worn by knights once loyal to Praetor Rykard.                                                                                                                                                                                                                                                                                                                                                                                                                        ;Gelmir Knights serve Rykard
Godskin Apostle Trousers         ;Trousers made by seweing together patches of smooth skin. Worn by t he Godskin Apostles. The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame.  But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.                                                                                                                                                                                      ;Godskin Apostles' power is sealed away AFTER Godskin Apostles are defeated by Maliketh
Hoslow's Greaves                 ;"Garish silver greaves decorated with red embellishments. Passed down through the Hoslow family. When Juno Hoslow received an invitation to the Volcano Manor, he discreetly refused. ""I have already walked many a road drenched in blood, yet never would I consider myself a champion."" "                                                                                                                                                                               ;Juno Hoslow doesn't consider himself a champion BEFORE Juno Hoslow is invited to Volcano Manor
Twinned Greaves                  ;"Greaves depicting entwined twins of gold and silver.  The two known as D are inseparable twins. They are of two bodies and two minds, but one single soul. Not once do they stand together; not one word do they speak to one another. Perhaps this armor longs to find its way to the other D.  "                                                                                                                                                                          ;
Perfumer Sarong                  ;"Sarong of an Erdtree Capital perfumer. In times past, the role of perfumer was much respect; a blessed apothecary in the eyes of many. But after entering the battlefields of the Shattering they performed no such role, trading their aromatics for poisons and explosives. "                                                                                                                                                                                             ;Perfumers are drafted into service DURING Shattering
Ronin's Greaves                  ;Greaves of the man who calls himself Shabriri. The man, once known as Yura, kept a woman in the deepest reaches of his heart.                                                                                                                                                                                                                                                                                                                                                ;
Night's Cavalry Greaves          ;Pitch-black greaves thinly painted with dried blood. The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.                                                                                                                                                                                                                                                     ;Night's Cavalry are led by Margit and deliver death to champions BEFORE Night's Cavalry wander the dim roads at night
Nomadic Merchant's Trousers      ;Trousers of the nomadic merchants. These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground. Then, they chanted a curse of despair, and summoned the flame of frenzy.                                                                                                                                                                                              ;Nomadic Merchants are rounded up and buried alive far underground AFTER Nomadic Merchants are accused of heretical beliefs, Nomadic Merchants chant a curse of despair, and summon the flame of frenzy AFTER Nomadic Merchants are rounded up and buried alive far underground
Tree Sentinel Greaves            ;Golden greaves of the heavy cavalry Tree Sentinels who serve the Erdtree. Imposingly sturdy and nigh unbreakable, the grace of old yet lingers.                                                                                                                                                                                                                                                                                                                              ;
Aristocrat Boots                 ;Boots made from tanned leather. Abandoning their birthplace after the shattering, these undead wanderers are the pitiful product of unending life.                                                                                                                                                                                                                                                                                                                           ;Aristocrats abandon their birthplace AFTER Shattering
Old Aristocrat Shoes             ;Hard-wearing shoes made of leather. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.                                                                                                                                                                                                                                                                                                                       ;Aristocrats abandon their birthplace AFTER Shattering
Traveler's Boots                 ;Light yet sturdy leather boots. Worn by young women who set off into the world to confront their fate.                                                                                                                                                                                                                                                                                                                                                                       ;
Gold Waistwrap                   ;Waistwrap made in the image of Erdtree branches. A minimal adornment made by Lord Goldmask's disciples. Those disciples have long since left him.                                                                                                                                                                                                                                                                                                                            ;Goldmask's disciples make Gold Bracelets BEFORE Goldmask's disciples leave Goldmask
Radiant Gold Mask                ;A mask designed to resemble a blazing golden halo. Created and left behind by Lord Goldmask, a staunch pursuer of Golden Order fundamentalism. Strengthens Golden Order incantations. Its striking design represents both the brilliant inspiration that once shone upon him, and the vision of a ring that he will surely find at the end of his pursuit. 'To you who seek to shine as I do, wear it well!'                                                                 ;
Redmane Knight Greaves           ;Black iron greaves worn by knights who fought by General Radahn's side. Time has yet to dull their luster.                                                                                                                                                                                                                                                                                                                                                                   ;Redmane Soldiers fight by Radahn's side
Warming Stone                    ;Ruin Fragment blessed with an incantation of the Two Fingers.  Uses FP to generate warmth, continuously restoring the HP of those nearby. It's said that the Erdtree was once as warm as the gentle sun, and would gradually heal all who bathed in its rays.                                                                                                                                                                                                                ;Erdtree is warm as the gentle sun and gradually heals all who bath in its rays
Radiant Baldachin's Blessing     ;Protection of a hidden temple in the guise of a bedchamber. This blessing is of the utmost rarity. Uses FP to temporarily raise poise.  It's said a deathbed companion will only produce a blessing of this kind for a champion but once in her entire life. The sole blessing which she imbues of her own volition.                                                                                                                                                         ;
Starlight Shards                 ;An ephemeral sliver that gives off a pale blue glow. Use to gradually recover FP. A prized item that was once used in the Eternal City as an ingredient in intoxicating draughts.                                                                                                                                                                                                                                                                                            ;Starlight Shards are used in the Eternal City as an ingredient in intoxicating draughts
Miquella's Needle                ;One of the unalloyed gold needles that Miquella crafted to ward away the meddling of outer gods. Capable of subduing the flame of frenzy if inherited, allowing one to cheat fate and avoid becoming Lord of Frenzied Flame. However, the needle is as yet unfinished and can only be used in the heart of the storm beyond time said to be found in Faram  Azula.                                                                                                           ;
Aeonian Butterfly                ;A butterfly with withered, scarlet wings found in the swamp of Aeonia. According to myth, these butterflies were once the wings of the Goddess of Rot herself.                                                                                                                                                                                                                                                                                                               ;Aeonian Butterfly is part of the wings of the Rot Goddess BEFORE Aeonian Butterfly is found in the swamp of Aeonia
Altus Bloom                      ;A golden-tingerd flower from a succulent plant that blooms on the Altus Plateau. Said to be a funereal flower in an era long past, before the Erdtree grew.                                                                                                                                                                                                                                                                                                                  ;Altus Bloom is a funeral flower BEFORE Erdtree grows
Gravel Stone                     ;A small clump of sharp, pointed stones. Such compound stones, found in lands once beset by ancient dragons, are said to be the scales of those very beasts.                                                                                                                                                                                                                                                                                                                  ;
Living Jar Shard                 ;A fragment of a living jar, hardened after its death. Such fragments command a high price due to the magical power locked within. This leaves the living jars unfortunate targets for poachers.                                                                                                                                                                                                                                                                              ;
Miranda Powder                   ;Pollen from a man-eating miranda flower. Throughout history, perfumers have prized this extremely fragrant form of miranda pollen, not yet scattered into the air.                                                                                                                                                                                                                                                                                                           ;
Rimed Crystal Bud                ;A young plant, frozen into a crystal before it could mature. Widely found in cold regions.                                                                                                                                                                                                                                                                                                                                                                                   ;
Perfume Bottle                   ;Glass bottles used by perfumers. Used to seal various scent compounds. Essential vessel for crafting perfume items. The art of perfuming was once jealously guarded in the capital, but after the perfumers were drafted into service during the Shattering, the art became widely practiced throughout the Lands Between.                                                                                                                                                   ;Perfumers guard the art of perfuming jealously BEFORE Perfumers are drafted into service, Perfumers are drafted into service DURING Shattering
